page_name,Link,Record Count
ABOUT YOU,https://www.facebook.com/ads/library/?id=2450213835454661,1898
ABOUT YOU,https://www.facebook.com/ads/library/?id=1004543545776594,1898
ABOUT YOU,https://www.facebook.com/ads/library/?id=992962043528167,1846
ABOUT YOU,https://www.facebook.com/ads/library/?id=1774128800090502,1846
ABOUT YOU,https://www.facebook.com/ads/library/?id=2118052545778392,1846
ABOUT YOU,https://www.facebook.com/ads/library/?id=1324395329821442,1794
ABOUT YOU,https://www.facebook.com/ads/library/?id=1298505765641485,1742
ABOUT YOU,https://www.facebook.com/ads/library/?id=1961597727976447,1742
ABOUT YOU,https://www.facebook.com/ads/library/?id=986922407581245,1742
ABOUT YOU,https://www.facebook.com/ads/library/?id=1713534272998653,1742
ABOUT YOU,https://www.facebook.com/ads/library/?id=1022157343542634,1742
ABOUT YOU,https://www.facebook.com/ads/library/?id=976701975138950,1716
ABOUT YOU,https://www.facebook.com/ads/library/?id=1676897040262994,1638
ABOUT YOU,https://www.facebook.com/ads/library/?id=1002410242789670,1136
ABOUT YOU,https://www.facebook.com/ads/library/?id=1318508093662909,1104
ABOUT YOU,https://www.facebook.com/ads/library/?id=2085126998793030,975
ABOUT YOU,https://www.facebook.com/ads/library/?id=1146631831874563,930
ABOUT YOU,https://www.facebook.com/ads/library/?id=3431793706990686,828
ABOUT YOU,https://www.facebook.com/ads/library/?id=1312269868628097,744
ABOUT YOU,https://www.facebook.com/ads/library/?id=2210736060324595,744
ABOUT YOU,https://www.facebook.com/ads/library/?id=1387827726748508,600
BSTN Store,https://www.facebook.com/ads/library/?id=2047784059465264,598
BSTN Store,https://www.facebook.com/ads/library/?id=2240365296713278,572
Zalando,https://www.facebook.com/ads/library/?id=2143029949836161,572
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2061111357984712,546
Zalando,https://www.facebook.com/ads/library/?id=2458385274582016,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=3695916840550452,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1672568177505312,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=1183471230531536,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=794325349864019,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=892531253416306,546
Zalando,https://www.facebook.com/ads/library/?id=2220370535458743,546
JD Sports,https://www.facebook.com/ads/library/?id=842990085279612,546
Zalando,https://www.facebook.com/ads/library/?id=2023026304921128,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=1295227315788990,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1262875255902024,546
Zalando,https://www.facebook.com/ads/library/?id=4428381837445879,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1945348393073610,546
Zalando,https://www.facebook.com/ads/library/?id=1578734513251914,546
Modivo,https://www.facebook.com/ads/library/?id=2010147712950463,546
Zalando,https://www.facebook.com/ads/library/?id=924499140528608,546
Zalando,https://www.facebook.com/ads/library/?id=1416915886691669,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1805165240894324,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=892486916941791,546
Zalando,https://www.facebook.com/ads/library/?id=944892521875661,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1877378236303231,546
Zalando,https://www.facebook.com/ads/library/?id=1926361678275134,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1607827020278358,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=873839058843573,546
Zalando,https://www.facebook.com/ads/library/?id=863536796752679,546
