platform,advertiser_name,creative_id,for_whom,creative_page_url
Meta Ads Library,ABOUT YOU,1.00345E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1003448278064874&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,ANEX Tour Eesti,9.73052E+14,teztour,https://www.facebook.com/ads/archive/render_ad/?id=973051618318701&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Coral Travel Estonia,2.0609E+15,teztour,https://www.facebook.com/ads/archive/render_ad/?id=2060901414411635&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,SEB Eesti,4.34055E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=4340553976199577&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Ballzy Eesti,1.31779E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1317794639461297&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Sportland Eesti,8.99396E+14,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=899395868784582&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Coral Travel Lithuania,5.05773E+14,teztour,https://www.facebook.com/ads/archive/render_ad/?id=505773409104873&access_token=EAATnrmoQyC4BO5erfu0T8wppuuMsqCZCnReXzEYpZAE2SuHMabkeRUXfkbCAdlN6QqZADLZAC3kW4zSBZAUYvrEe5WEyxqd6tPkCitApLgaiLpJyZAFbsttB4ePIsz7s9dCXObDRZBE4zZCfVDCOaDzwBajqvt8tZCLyglNfHAVFymweyRxgxwtmq6IHSiwo9Nmvr3dPAXdXF
Meta Ads Library,Coop Pank,2.39121E+16,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=23912123085056991&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Swedbank Eestis,1.34133E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1341327530539693&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Weekend.lt,8.31392E+14,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=831391616282050&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Weekend.lt,1.36449E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1364489212130079&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Ignitis Group Eesti,2.63366E+16,enefit,https://www.facebook.com/ads/archive/render_ad/?id=26336614529322078&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Swedbank Eestis,1.13612E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1136121997986508&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Seesam kindlustus,2.0316E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=2031595203959859&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Ballzy Lietuva,3.86711E+14,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=386711221061060&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Ballzy Suomi,3.3178E+14,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=331779616631074&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Enefit Eesti,1.08863E+15,enefit,https://www.facebook.com/ads/archive/render_ad/?id=1088634143167595&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Enefit Eesti,4.11187E+15,enefit,https://www.facebook.com/ads/archive/render_ad/?id=4111870415740711&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Terminal Energia,2.09808E+15,enefit,https://www.facebook.com/ads/archive/render_ad/?id=2098075754008121&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Citadele Eesti,1.78461E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1784610428758284&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Hepsor,8.96429E+14,liven,https://www.facebook.com/ads/archive/render_ad/?id=896428929140897&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Ballzy Suomi,1.08105E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1081045433350048&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,BSTN Store,3.80258E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=3802578290003835&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Luminor Eesti,3.48904E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=3489039337909905&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Ballzy Lietuva,1.54362E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1543618990372535&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Swedbank Eestis,1.63772E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1637715300250010&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,SEB Eesti,1.13079E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1130787428021631&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Citadele Eesti,1.52875E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1528754228061989&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Coral Travel Latvia,6.49382E+14,teztour,https://www.facebook.com/ads/archive/render_ad/?id=649382100865868&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,BSTN Store,1.39234E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1392344738732443&access_token=EAATnrmoQyC4BPs1GFkdV11JnEwK18Y8SLMH9XxyP1QZA12GZBXpFNXt4CEn7HUJVZAYL5pFEXRSZCIdgVqP5T08KTd8pQGXvNZCam0j0PqoRFCsskhbBt4ZAXMXFOpa0ECGYHZA8NTLdIW8Nry28X4W5VJDVRVvrn9v1R3X8HFx4OAx1POcTnhYscXKCiQv7yFEdGdyRtLU
Meta Ads Library,SEB Eesti,1.70644E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1706444066741631&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
