Ad ID,Advertiser,Image
2514184849055670,Lidl Eesti,https://tanelneemoja.github.io/competitors_images/data/Lidl Eesti/2514184849055670.jpg?v=31783064803
1526762858658150,reterra,https://tanelneemoja.github.io/competitors_images/data/reterra/1526762858658150.jpg?v=31783064803
1046228838051050,reterra,https://tanelneemoja.github.io/competitors_images/data/reterra/1046228838051050.jpg?v=31783064803
1365154485026060,ERGO,https://tanelneemoja.github.io/competitors_images/data/ERGO/1365154485026060.jpg?v=31783064803
2335247447007930,Boozt.com,https://tanelneemoja.github.io/competitors_images/data/Boozt.com/2335247447007930.jpg?v=31783064803
918838067293836,Join Up Latvija,https://tanelneemoja.github.io/competitors_images/data/Join Up Latvija/918838067293836.jpg?v=31783064803
2000549924681560,Boozt.com,https://tanelneemoja.github.io/competitors_images/data/Boozt.com/2000549924681560.jpg?v=31783064803
1893037165434180,Lidl Eesti,https://tanelneemoja.github.io/competitors_images/data/Lidl Eesti/1893037165434180.jpg?v=31783064803
1034457142775090,Boozt.com,https://tanelneemoja.github.io/competitors_images/data/Boozt.com/1034457142775090.jpg?v=31783064803
1970693366757190,Join Up Eesti,https://tanelneemoja.github.io/competitors_images/data/Join Up Eesti/1970693366757190.jpg?v=31783064803
3599571000208860,Boozt.com,https://tanelneemoja.github.io/competitors_images/data/Boozt.com/3599571000208860.jpg?v=31783064803
1854357719304500,Rimi Eesti,https://tanelneemoja.github.io/competitors_images/data/Rimi Eesti/1854357719304500.jpg?v=31783064803
1074161088432130,Join Up Eesti,https://tanelneemoja.github.io/competitors_images/data/Join Up Eesti/1074161088432130.jpg?v=31783064803
923954903373829,Endover Kinnisvara,https://tanelneemoja.github.io/competitors_images/data/Endover Kinnisvara/923954903373829.jpg?v=31783064803
4647989442090720,Boozt.com,https://tanelneemoja.github.io/competitors_images/data/Boozt.com/4647989442090720.jpg?v=31783064803
1306876541518860,Boozt.com,https://tanelneemoja.github.io/competitors_images/data/Boozt.com/1306876541518860.jpg?v=31783064803
